time,data
200305,1169158.227
200306,1211960.024
200307,1206036.64
200308,1281414.56
200309,1310897.521
200310,1185388.348
200311,524626.128
200312,1224247.038
200401,1296808.153
200402,711393.232
200403,1069073.49
200404,1323226.23
200405,1361713.169
200406,1453849.89
200407,1431513.448
200408,1473185.293
200409,1484842.466
200410,1423124.105
200411,1470274.396
200412,1258960.11
200501,1584199.859
200502,1264639.449
200503,698868.453
200504,1441264.159
200505,1477154.74
200506,1604752.895
200507,1534810.215
200508,1608407.653
200509,1608169.973
200510,1478588.703
200511,1561483.119
200512,1279200.834
200601,1836464.808
200602,1087642.469
200603,1169506.673
200604,1750455.395
200605,1690402.462
200606,1796691.697
200607,1733813.078
200608,1780448.61
200609,1819893.762
200610,1769532.481
200611,1899771.039
200612,1648786.626
200701,2059926.822
200702,1807252.313
200703,771546.622
200704,1866996.276
200705,1985636.298
200706,2083117.507
200707,2034462.412
200708,2065030.453
200709,2112113.298
200710,1996384.475
200711,1951749.668
200712,1675087.463
200801,2469443.712
200802,1656654.059
200803,1035034.695
200804,2064666.032
200805,2097881.514
200806,2149155.453
200807,2019908.429
200808,2049378.371
200809,2007280.565
200810,1749402.444
200811,1647697.319
200812,1313783.26
200901,2016451.856
200902,1388592.09
200903,1371273.507
200904,1979207.649
200905,1924427.01
200906,2028739.804
200907,2048701.452
200908,2124789.961
200909,2205607.932
200910,2125601.376
200911,1896483.283
200912,2068301.415
201001,2435859.373
201002,2043585.941
201003,890498.207
201004,2228033.019
201005,2267458.604
201006,2370559.268
201007,2264859.488
201008,2403089.712
201009,2427208.93
201010,2272256.618
201011,2211461.255
201012,2080901.813
201101,2811382.474
201102,1694584.704
201103,1220201.904
201104,2450110.239
201105,2406544.631
201106,2470264.313
201107,2371420.028
201108,2477325.643
201109,2483846.5
201110,2341947.514
201111,2295316.995
201112,2394420.885
201201,2302761.881
201202,1013114.975
201203,2000077.515
201204,2570550.208
201205,2413069.385
201206,2579702.986
201207,2395018.973
201208,2511766.822
201209,2540923.607
201210,2467682.335
201211,2417828.783
201212,2137780.009
201301,2687954.682
201302,2036813.502
201303,864142.636
201304,2588449.572
201305,2578584.083
201306,2699359.056
201307,2617010.025
201308,2750717.438
201309,2734249.365
201310,2611023.171
201311,2564038.035
201312,2306867.016
201401,2926660.09
201402,1604914.606
201403,1510635.86
201404,2782184.702
201405,2733029.928
201406,2780475.726
201407,2688427.995
201408,2840968.521
201409,2826304.28
201410,2698739.432
201411,2612559.268
201412,1733304.585
