time,data
20030501,1169158.227
20030502,1211960.024
20030503,1206036.64
20030504,1281414.56
20030505,1310897.521
20030506,1185388.348
20030507,524626.128
20030508,1224247.038
20030509,1296808.153
20030510,711393.232
20030511,1069073.49
20030512,1323226.23
20030513,1361713.169
20030514,1453849.89
20030515,1431513.448
20030516,1473185.293
20030517,1484842.466
20030518,1423124.105
20030519,1470274.396
20030520,1258960.11
20030521,1584199.859
20030522,1264639.449
20030523,698868.453
20030524,1441264.159
20030525,1477154.74
20030526,1604752.895
20030527,1534810.215
20030528,1608407.653
20030529,1608169.973
20030530,1478588.703
20030531,1561483.119
20030601,1279200.834
20030602,1836464.808
20030603,1087642.469
20030604,1169506.673
20030605,1750455.395
20030606,1690402.462
20030607,1796691.697
20030608,1733813.078
20030609,1780448.61
20030610,1819893.762
20030611,1769532.481
20030612,1899771.039
20030613,1648786.626
20030614,2059926.822
20030615,1807252.313
20030616,771546.622
20030617,1866996.276
20030618,1985636.298
20030619,2083117.507
20030620,2034462.412
20030621,2065030.453
20030622,2112113.298
20030623,1996384.475
20030624,1951749.668
20030625,1675087.463
20030626,2469443.712
20030627,1656654.059
20030628,1035034.695
20030629,2064666.032
20030630,2097881.514
20030701,2149155.453
20030702,2019908.429
20030703,2049378.371
20030704,2007280.565
20030705,1749402.444
20030706,1647697.319
20030707,1313783.26
20030708,2016451.856
20030709,1388592.09
20030710,1371273.507
20030711,1979207.649
20030712,1924427.01
20030713,2028739.804
20030714,2048701.452
20030715,2124789.961
20030716,2205607.932
20030717,2125601.376
20030718,1896483.283
20030719,2068301.415
20030720,2435859.373
20030721,2043585.941
20030722,890498.207
20030723,2228033.019
20030724,2267458.604
20030725,2370559.268
20030726,2264859.488
20030727,2403089.712
20030728,2427208.93
20030729,2272256.618
20030730,2211461.255
20030731,2080901.813
20030801,2811382.474
20030802,1694584.704
20030803,1220201.904
20030804,2450110.239
20030805,2406544.631
20030806,2470264.313
20030807,2371420.028
20030808,2477325.643
20030809,2483846.5
20030810,2341947.514
20030811,2295316.995
20030812,2394420.885
20030813,2302761.881
20030814,1013114.975
20030815,2000077.515
20030816,2570550.208
20030817,2413069.385
20030818,2579702.986
20030819,2395018.973
20030820,2511766.822
20030821,2540923.607
20030822,2467682.335
20030823,2417828.783
20030824,2137780.009
20030825,2687954.682
20030826,2036813.502
20030827,864142.636
20030828,2588449.572
20030829,2578584.083
20030830,2699359.056
20030831,2617010.025
20030901,2750717.438
20030902,2734249.365
20030903,2611023.171
20030904,2564038.035
20030905,2306867.016
20030906,2926660.09
20030907,1604914.606
20030908,1510635.86
20030909,2782184.702
20030910,2733029.928
20030911,2780475.726
20030912,2688427.995
20030913,2840968.521
20030914,2826304.28
20030915,2698739.432
20030916,2612559.268
20030917,1733304.585
